time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-20T11:25:43.440Z,38.8181648,-122.814003,1.82,1.33,md,23,45,0.006058,0.03,nc,nc73641900,2021-10-20T15:16:11.896Z,"7km NW of The Geysers, CA",earthquake,0.19,0.4,0.3,5,automatic,nc,nc
2021-10-20T11:05:22.153Z,38.523,-119.4118,1.3,1.3,ml,8,99.4,0.028,0.1114,nn,nn00826245,2021-10-20T11:08:24.557Z,"5 km E of Walker, California",earthquake,,1,0.28,3,automatic,nn,nn
2021-10-20T10:55:26.890Z,38.833168,-122.8191681,1.71,0.85,md,5,151,0.01207,0.02,nc,nc73641895,2021-10-20T11:56:12.377Z,"8km NW of The Geysers, CA",earthquake,0.77,1.75,,1,automatic,nc,nc
2021-10-20T10:44:49.626Z,59.9635,-152.8029,93.2,1.6,ml,,,,0.48,ak,ak021dgqok28,2021-10-20T10:49:05.464Z,"58 km WNW of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-20T10:37:45.647Z,38.1502,-117.8965,10.5,1.6,ml,19,66.03,0.021,0.1208,nn,nn00826242,2021-10-20T17:27:19.896Z,"32 km SE of Mina, Nevada",earthquake,,0.7,0.22,11,reviewed,nn,nn
2021-10-20T10:25:43.767Z,63.225,-150.4798,125.6,1.8,ml,,,,0.36,ak,ak021dgqkh0h,2021-10-20T10:30:43.233Z,"71 km ESE of Denali National Park, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-10-20T10:10:14.000Z,44.4895,-112.677,3.9,1.34,ml,13,109,0.227,0.21,mb,mb80527494,2021-10-20T15:26:57.980Z,"17 km SSW of Lima, Montana",earthquake,0.61,14.37,0.166,11,reviewed,mb,mb
2021-10-20T10:03:52.380Z,37.5771675,-118.777832,6.18,1.38,md,10,215,0.04271,0.01,nc,nc73641885,2021-10-20T11:21:11.284Z,"9km WNW of Toms Place, CA",earthquake,1.57,0.73,0.06,10,automatic,nc,nc
2021-10-20T10:02:39.230Z,19.2250003814697,-155.417663574219,33.1800003051758,1.99000001,md,36,135,,0.150000006,hv,hv72763402,2021-10-20T10:05:57.420Z,"6 km ENE of Pāhala, Hawaii",earthquake,0.52,0.769999981,1.82000005,6,automatic,hv,hv
2021-10-20T09:59:55.610Z,37.5796661,-118.7788315,6.25,1.57,md,12,213,0.06789,0.01,nc,nc73641875,2021-10-20T13:38:13.276Z,"9km WNW of Toms Place, CA",earthquake,2,1,0.15,13,automatic,nc,nc
